City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
507,Nortelandia,BR,75.43,broken clouds,-14.4547,-56.8028,Hotel Karysmã
508,Mogadishu,SO,77.79,broken clouds,2.0371,45.3438,Hotel Juba
512,Ulladulla,AU,79.7,overcast clouds,-35.35,150.4667,Sandpiper Motel
513,Paka,MY,84.13,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
514,Bac Lieu,VN,84.0,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
517,Sokolo,ML,85.59,few clouds,14.7328,-6.1219,
518,Sungaipenuh,ID,76.12,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
521,Payo,ID,89.29,few clouds,-3.7508,103.6372,Mess keban agung
524,Sola,VU,79.61,broken clouds,-13.8833,167.55,Leumerus Bungalows
525,Guane,CU,77.76,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
530,Pochutla,MX,80.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
532,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
534,Koumac,NC,75.33,few clouds,-20.5667,164.2833,Le Monitel
535,Puntarenas,CR,80.53,overcast clouds,9.9763,-84.8384,Michael's Surfside Hotel
536,Coahuayana,MX,85.48,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
539,Beoumi,CI,76.78,overcast clouds,7.6736,-5.5764,Hôtel le Goly
540,Kantang,TH,84.29,few clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
541,Kirakira,SB,82.69,overcast clouds,-10.4544,161.9205,SanBiz Lodge
542,Encheng,CN,76.87,moderate rain,22.1839,112.3026,Pinghu Hostel
545,Belmonte,BR,75.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
548,Kimbe,PG,83.32,light rain,-5.5502,150.1429,Kimbe Bay Hotel
549,Auki,SB,84.94,moderate rain,-8.7676,160.7034,Auki Motel
561,Mutis,CO,77.27,moderate rain,6.2262,-77.4044,Paraiso Escondido
571,Bajil,YE,83.84,overcast clouds,15.0584,43.2851,فندق حضرموت
574,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
